links,links-href,concept,definition
D,https://glossary.infil.net/?l=D,DACUS,"A technique in Smash Bros. Brawl (and its fan project Project M) that lets a character kara cancel a dash attack into an up-smash. Stands for, predictably, Dash Attack Canceled Up Smash. This is super useful for characters that get a lot of forward momentum out of the initial frames of their dash attack; all that momentum gets saved while you are doing your up-smash, so you'll slip and slide all over the screen while attacking. It almost kind of looks like a wavedash, but you don't get to act freely out of it. It was a particularly common (and fun!) strategy for Snake, as he had easy execution and an extra long slide."
D,https://glossary.infil.net/?l=D,Dave's Stupid Rule,"A rule in Smash Bros. tournaments that prevents you from picking a stage you've already won a game on during the current match. Commonly abbreviated to DSR. The goal is to prevent players from repeatedly counter picking the same stage that gives them a huge advantage and beating their opponent handily because of it. You'll get to win at most once on this stage, and then you'll have to go elsewhere. Some tournaments have a ""Gentleman's Rule"" that lets the players bypass DSR and play on a previous stage again, but only if they both agree."
E,https://glossary.infil.net/?l=E,Edge-Guard,"Trying to keep an opponent who you've launched off the stage from returning back to the stage. You might jump off the stage yourself and try to intercept them as they get close, or you might stand right on the edge of the stage and poke at them as they are trying to grab the edge.  The strategies around one player edge-guarding and the other trying to recover safely are one of the main ways Smash Bros. is different from traditional fighting games, and the options each player has will change depending on which version of Smash Bros. (or which platform fighter) you're talking about. You'll hear terms like gimp, edge hog, ledge trump, and others used to describe strategies for edge-guarding."
E,https://glossary.infil.net/?l=E,Edge,"The edge of a stage or platform in a platform fighter. People will often say ""ledge"" as well, but this specifically means the edge of the stage (not a mid-stage platform). If you get launched off the stage, the stage edge will be the closest part of the stage you can aim for during your recovery, and in Smash Bros., you can grab onto any ledge and pull yourself up as part of your recovery efforts.  Stopping people from grabbing the edge effectively is a huge part of edge-guarding, the cat-and-mouse game of a launched opponent trying to safely return to the stage. In some games you can edge hog and in others you can ledge trump, but the focus is usually around the edge because grabbing it gives your character a short period of invincibility, which is pretty useful for not getting smoked."
E,https://glossary.infil.net/?l=E,Edge Hog,"Grabbing onto the edge in a platform fighter so that your opponent can't. Very useful in the older Super Smash Bros. games in order to snag the edge from a recovering player who is trying to grab the edge to survive. In Melee in particular, you can grab the edge and then roll back onto the stage; the game thinks you are grabbing the edge for the duration of your roll, allowing you to continue hogging it from your opponent while being invincible from the roll. In later Smash Bros titles, they removed this mechanic in favor of ledge trumping."
E,https://glossary.infil.net/?l=E,EX Guard,"An advanced form of blocking in Melty Blood: AACC where you press back to block just slightly before an attack reaches you. You'll briefly flash gold and improve your super meter gain, restore some of your guard meter so you don't get guard crushed so quickly, and recover from block stun slightly faster than normal, perhaps allowing new punishes. You'll also push the opponent a little farther away than normal, making it function a little like a pushblock in other games.  It shares a lot of similiarites to Guilty Gear's Instant Block and Just Defend from games like King of Fighters. Despite the term's use of ""EX"", it does not cost meter to perform. Also, only two of the three Moons (Crescent and Full) can do it."
E,https://glossary.infil.net/?l=E,Ender,"A special move executed with either heavy punch or heavy kick any time after you have hit with a Killer Instinct opener. Depending on which special move you do, your ender will have different perks, such as extra damage, more super meter gain, or a wall splat.  Your ender will also get powered up based on how much white life your opponent has, indicated by a number of green rectangles under the combo counter. Short combos without much white life will be ""level 1"" and give a small reward, while longer combos filled with heavy-hitting attacks can reach ""level 4"", greatly powering up your ender's effect. The ender will also cash out and remove any white life your opponent has, adding to the combo damage significantly. Just be sure not to do an opener-ender sequence."
E,https://glossary.infil.net/?l=E,EVO Moment #37,"A moment from EVO 2004's Street Fighter III: 3rd Strike tournament that has become one of the most famous moments in fighting game history. Down to a sliver of his remaining health, Japanese fighting game legend Daigo Umehara precisely parried 15 hits of Chun-Li's super, launched by American legend Justin Wong in an attempt to chip Daigo out. Daigo would then punish Justin and win the game, and eventually the match.  This moment has transcended the fighting game genre, inspired millions of fans and, in many ways, is responsible for the modern popularity of fighting games as a whole. The phrase ""Let's go Justin!"", shouted by an onlooker right before the parry begins, has also reached infamy in fighting game circles. The only way to understand the excitement of the moment is to watch it yourself."
E,https://glossary.infil.net/?l=E,EVO,"The world's largest fighting game tournament. Hosted every summer in Las Vegas, the Evolution Championship Series is a multi-day, open event that hosts tens of thousands of competitors from all around the world in several games. In recent years, EVO has filled the Mandalay Bay arena on Sunday for the Top 8 finals of its more popular games and even been featured on TV channels like ESPN. Starting in 2018, EVO also hosts EVO Japan every January."
E,https://glossary.infil.net/?l=E,Edge Cancel,"Canceling the recovery of an air attack by landing on the very edge of a platform and then using your existing momentum to slide off. Instead of incurring your normal landing lag, you'll slide off the platform and become airborne again, able to attack immediately. It's not easy to pull off though, since you have to land with some pretty high precision right near the edge, and it's even harder if your character doesn't like to slide very much.  In Smash 64 and Melee, you can edge cancel any aerial attack and open up new combo opportunities. In Brawl and beyond, however, you can only cancel special moves (like your up-B recovery move) and air dodges, so it's now less about combos and more about making survival a little easier."
E,https://glossary.infil.net/?l=E,Electric Wind God Fist,"An iconic move from the Tekken series belonging to Mishimas. It's often abbreviated to EWGF, simply called an ""Electric"", or called a ""Dorya"", mimicking the iconic voice clip when the move is performed. The command is forward, neutral, down, down-forward + 2 (essentially, a DP motion where you must also hit neutral), but then you must enter the down-forward direction and press your 2 attack on the exact same frame. If your timing is even slightly off, you will get the non-Electric version of the attack, which has considerably worse properties and, let's be honest, doesn't look nearly as cool.  Electrics are powerful moves in Tekken. They are high attacks, which makes them susceptible to crouching, but they are otherwise very fast, plus on block launchers that lead to a massive amount of damage. While the execution is quite difficult, being able to do this attack on command is important to learn for Mishima players."
E,https://glossary.infil.net/?l=E,Empty Jump,"The act of jumping without doing any air attack. There are lots of cool strategic reasons why you might want to do this. For example, if you're a slow moving character with beefy air attacks, you can close the gap by empty jumping. Your opponent might think you want to press one of those wonderful long-range air attacks and try to anti-air you, but since you didn't press anything, they'll swing and miss. This is called a grappler jump.  Since jumping attacks are overheads, another option is empty jumping and then doing an immediate, fast low attack instead as a mixup. We call this ""empty jump low"" and you can also try doing similar ideas like empty jump throw if you want (Smash players call this a tomahawk). I know that everytime you jump you want to attack, but sometimes less is more."
F,https://glossary.infil.net/?l=F,Fatal Counter,"A more powerful version of a counter hit in the BlazBlue series. Certain moves are marked with the ability to deliver a Fatal Counter if they counter hit the opponent, and you'll get extra hit stun and a fatter combo when it hits. The announcer shouts ""Fatal"" to let you know when you're in business. It shares similarities with a system like Street Fighter V's Crush Counter.  Fatal Counter is also a mechanic in Melty Blood: Type Lumina. Landing any hit or throw against a shielding opponent, or a counter-hit against someone in the air, pops up the ""Fatal Counter"" message on the screen. You'll get slightly more damage and hit stun than normal, possibly allowing new combos depending on the situation. You'll also earn more moon gauge on a fatal counter, letting you use your powerful moon skills and moon drive more often."
F,https://glossary.infil.net/?l=F,Fast-Faller,"A character that has high falling speed and just naturally falls faster towards the stage than other characters. The space animals are common examples of fast-fallers. How fast you fall greatly impacts every aspect of the character; on offense, fast-fallers can quickly throw out aerial attacks and land on the stage, and on defense, opponents can often perform unique combos on them (like chain grabs), since they will fall back into range more quickly than other characters. The opposite of a fast-faller is being floaty. Note that this term is distinct from a fast fall."
F,https://glossary.infil.net/?l=F,FGC,"An abbreviation for the Fighting Game Community. Anybody who enjoys playing, talking about, or watching fighting games is a part of the FGC, no matter how good you are or which game is your favorite. The FGC is a bit unique compared to other video game communities because rather than focus on exactly one specific game, there are dozens of fighting games that people love to play, so you'll see a lot of diversity in discussion and interests."
F,https://glossary.infil.net/?l=F,Falling Speed,"How fast your character moves downward while in mid-air. Every Smash Bros. character has an inherent falling speed, from the super quick fast-fallers to the slower floaty characters, and by pressing down while in the air, you will fast fall and accelerate your falling speed instantly to its character-specific maximum value."
F,https://glossary.infil.net/?l=F,Force Roman Cancel,"A type of Roman Cancel in the Guilty Gear XX series of games, commonly abbreviated to FRC. The good side: FRCs only cost 25% of your Tension gauge instead of the normal 50%, making them a very economical and powerful use of meter. The bad side: FRCs can't be performed on just any old move. It's only possible on a small subset of moves (often on projectiles), and the timing is notoriously tight, often just a couple frames of leeway during a very specific part of the move's animation. But when you get used to the precision needed, you can generate some pretty effective pressure at a very low meter cost. FRCs generate a blue circle around your character."
F,https://glossary.infil.net/?l=F,Flawless Block,"An advanced blocking technique in Mortal Kombat 11. By pressing the block button right before you are attacked, you will briefly flash white and reduce the chip damage you take. Once you've successfully done a Flawless Block, you can spend 1 Defensive Meter and 1 Offensive Meter by inputting up+2 or up+3 to immediately counter-attack, much like you would do as one of your Getup options. This can let you punish certain attacks that you normally wouldn't be able to. This mechanic is similar to Just Defend and Instant Blocking in other games."
F,https://glossary.infil.net/?l=F,Foxtrotting,"A movement technique where you begin a dash, release your stick to neutral as your initial dash animation completes, then do it again. You never truly enter your full run animation, but instead just repeat your run's startup over and over, which for some characters can be faster and trickier than actually running.  It's just yet another way to move around in Smash Bros., like the dash dance or wavedashing."
F,https://glossary.infil.net/?l=F,Foot Position,"The orientation a character is standing in Virtua Fighter. You can have your left foot forward (LFF) or right foot forward (RFF), and you can switch between these freely, including by using certain attacks which switch your foot position. Thinking about it in terms of feet is a little tricky though, so you might just want to think whether you can see your opponent's ""front"" or ""back"", and you'll learn how this influences the direction you want to do your Defensive Move in.  You might also hear discussion about ""open"" or ""closed"" stances. A closed stance is when both characters have the same foot position (that is, you can see one character's front and the other character's back), and an open stance is when they have opposite foot positions (you see both fronts or both backs). This has subtle implications on the fight, including making some juggle combos impossible if you're facing the opponent the wrong way."
F,https://glossary.infil.net/?l=F,Frame Advantage,"Describes who recovers first when a move hits or is blocked. If you use an attack that recovers before the opponent leaves block stun (or hit stun), you get control of your character back first and can attack before the opponent, if you want. This means you ""have frame advantage"", and it's the same thing as being plus. You can also just ask ""what's the frame advantage on that move?"" to find out if you are plus or minus.  Having positive frame advantage is a bit stronger than just merely being safe, since being safe will also include a few moves that are minus (just not so minus that they can be punished). You'll hear people give advice like ""I'm advantage there, don't press a button"" and when you're first picking up fighting games, you should pay attention."
F,https://glossary.infil.net/?l=F,Fish,"Using a highly rewarding move multiple times in a row, hoping your opponent will run into it so something really good happens. A good example is using a good poke and buffering a strong attack behind it, like a super. If you see your opponent swing multiple times with this poke, you might hear a commentator say ""you can see him really fishing for super"". The line has been cast and they are hoping to reel in the big catch."
F,https://glossary.infil.net/?l=F,Focus Attack Dash Cancel,"Holding a focus attack and then, rather than releasing the buttons and attacking, inputting a dash to cancel the attack and dash instead. Specifically, FADC is used to refer to the 2-bar focus attack, those that were canceled off other attacks. You would then immediately dash cancel the focus, often before seeing any animation besides a quick yellow flash, and then continue the combo with other attacks or make yourself safe."
F,https://glossary.infil.net/?l=F,Focus Attack,"A system-wide mechanic in Street Fighter IV which let you absorb incoming attacks by holding MP and MK. You could then release the buttons at any time for a special attack, which might cause a crumple and a huge combo if timed correctly, or you could dash in either direction at any time and not activate the attack. While this has a lot of uses in neutral, its main use was canceling an attack directly into your absorbing pose for 2 stocks of super meter, which you could then dash out of to extend combos. Using it in this way was called a focus attack dash cancel, or FADC, and it was an extremely common tool used many times per match in SFIV.  Focus attack, and in particular FADC, was a divisive mechanic. On one hand, it allowed for flashy, interesting combos and brightened up the otherwise fairly boring combo game of SFIV. On the other hand, it was the cause of several extremely strong defensive mechanics, such as making many dragon punches safe on block and lead to extremely high damage on hit, and the use of the four finger tech. For better and worse, focus attacks contributed to SFIV's unique feel and it has both its fans and its detractors. In Ultra SFIV, the final version of the game, a new mechanic called red focus was added."
F,https://glossary.infil.net/?l=F,Fly,"A special move in some team games which allow the character to hover in the air for a set amount of time. While flying, you can typically attack, move around, and air dash until you get hit or you run out of flight time. Fly is often very strong in neutral to move around unpredictably, and you will usually use Fly and Unfly in combos if you manage to land a launcher."
F,https://glossary.infil.net/?l=F,Four Finger Tech,"A close-range defensive technique in Street Fighter IV where you would press four buttons, namely LP+LK+MP+MK, and then input backdash quickly afterwards. This was a powerful option select which overlaps the command for a throw tech (LP+LK) with a focus attack (MP+MK). If the opponent tried to throw you, you would tech the throw. If they tried to attack you, instead the focus attack would come out and you would absorb the hit and immediately use your invincible backdash to get to safety. In many matchups, this was a powerful catch-all defensive option that required some real study, or a strong read, to defeat."
F,https://glossary.infil.net/?l=F,First to,"Playing a set where the overall winner is the first player to win a certain number of games. Commonly abbreviated to ""FT"" followed by the number of wins required, such as ""FT10"". Most tournament sets will be FT2 or FT3, depending on which game is being played."
F,https://glossary.infil.net/?l=F,Fatal Blow,"A powerful super attack in Mortal Kombat 11. They replace X-Rays from Mortal Kombat X. Unlike most games, Fatal Blow is not tied to your super meter. Instead, like Tekken 7's Rage Art, you can only use it when you are low on health. If your Fatal Blow is blocked or whiffs, you'll get it back and can use it again after a short cooldown. However, you only get one successful Fatal Blow per match. If it hits, you won't be able to use it for the rest of the match (even if you are low on health in future rounds). Fatal Blows are fast, have armor and do a grip of damage."
F,https://glossary.infil.net/?l=F,Flowchart,"A basic strategy that can be followed in steps: if the current game state is X, just always do Y. Flowchart is usually used in a derogatory way to indicate a person that never thinks and always does the same thing (and usually loses in the same ways each time). But that said, there's certainly value in following a basic flowchart when you're learning a game. It can reduce the burden of learning everything up front and give you meaningful practice quickly."
F,https://glossary.infil.net/?l=F,Faultless Defense Cancel,"Kara canceling the startup of a Guilty Gear move directly into Faultless Defense. There are a few reasons you'd want to do this, but one common use is to change your air trajectory and try to trick your opponent with a different angle of approach.  For example, Faust in Guilty Gear Xrd can FDC his air drill attack. This attack would normally send him back towards the ground, but when FDCed, it stops the upward momentum of his jump he can immediately attack with an air normal. This is such a common strategy for Faust that people call this a ""Drill Cancel"". You can also FD Cancel while running forward; you might hear this called FD Brake, since it stops your run momentum immediately."
F,https://glossary.infil.net/?l=F,Footsies,"A complicated, often nebulous term that refers to the battle for controlling the space in front of you, often by using good pokes. In essence, you are trying to get to a range you like, while trying to deny your opponent getting to a range that they like. How you do this varies wildly based on the game, but it often involves using strong crouching kick attacks to pester your opponent as they are trying to walk around. This dance of playing mind games with your feet is the source of the term's name.  In reality, footsies can mean different things to different people, and often combines lots of adjacent concepts. Some people think that footsies needs to be a grounded affair, between characters that don't jump and fight for space only by walking. While this is a good example, I think applying the term narrow-mindedly to only these situations is falling out of favor. As more people play more diverse fighting games, they are realizing that you get the ""feel"" of footsies in lots of different ways, and this battle for space can extend to the air, or to movement options beyond walking, quite easily. That said, using amazing footsies to perform an awesome whiff punish will never fall out of style."
F,https://glossary.infil.net/?l=F,Flash Kick,"An invincible charge move made famous from Guile in Street Fighter. Hold down, or down-back, for about a second and then hit up plus a kick button to fly into the air foot first. It's a very common reversal and anti-air, but because it's a charge move, it needs more planning to use than a dragon punch. The term ""flash kick"" itself extends into other games too, as it's common to use it to describe any down-up charge move that can be used in this way."
F,https://glossary.infil.net/?l=F,Floor Break,"Punching someone through the floor, falling to the level below. Only a few Tekken stages will have destructible floors, so this is less common than the wall break or the balcony break, but if you do land one, you'll be able to continue the combo when you both land on the stage below. As with all Tekken ""breaks"", only certain moves can trigger a floor break."
F,https://glossary.infil.net/?l=F,Fierce,Another name for heavy punch. It's the most satisfying alternate name for a normal attack. Even just hearing the word makes you want to press the button.
F,https://glossary.infil.net/?l=F,Floaty,"A character that does not fall very fast towards the stage. A common strength of floaty characters, like Jigglypuff for example, is that they can use their floatiness to be deceptive in the air, drifting in and out of range and maybe even attacking multiple times before landing. This is the opposite of being a fast-faller."
F,https://glossary.infil.net/?l=F,Force Stand,"When an attack forces a crouching opponent to stand up when it hits them. This is particularly useful when a follow-up combo does not work against a crouching opponent. Including an attack that ""forces stand"" in the combo will make sure the opponent is no longer crouching and that the rest of the combo works fine."
F,https://glossary.infil.net/?l=F,FD Brake,"A Guilty Gear technique that lets you stop your forward run animation and block immediately. If you hold down-back after you start running, normally you have to skid to a stop, and you can't block at all while this is happening. Instead, if you briefly tap Faultless Defense (a.k.a. FD) while holding down-back, you'll immediately stop the run without sliding, allowing you to block much sooner.  You don't have to hold FD, a simple tap and release will do — although, if you want to continue to use Faultless Defense on your opponent's offense, you can choose to hold it down if you like. Using FD brake to approach your opponent is much safer than the alternative, and you should get used to doing it often!   You might also hear this called ""dash brake"", since you are putting the brakes on your dash. This more general term may apply to some other non-Guilty Gear games if there are mechanics in place that let you cancel a dash or air dash."
F,https://glossary.infil.net/?l=F,Frame Trap,"Two attacks back-to-back that leave a very small gap between them. The gap will be shorter than the defender's fastest attack, which means if they try to attack with a normal, they will get counter hit. Finding effective frame traps requires some basic understanding of frame data (or finding a good Youtube tutorial that has done the work for you!); you'll usually be looking for an attack that is plus on block, which lets you attack before your opponent afterwards, then swinging with a fast attack that ""traps"" your opponent who foolishly thought they could swing themselves.  Frame traps aren't foolproof, though. You can usually just continue to block and be fine until your opponent gets pushed out of range. Or, if you're feeling risky, you can try to get through the opponent's attack with an invincible reversal, which doesn't care about your opponent's pesky frame advantage."
F,https://glossary.infil.net/?l=F,Fireball,"A specific type of projectile that travels horizontally and is traditionally input using a quarter circle command. Ryu, Sagat, Jago and Sol all throw fireballs, and they are perhaps the most iconic special moves in all of fighting games. Beams that travel the whole screen instantly and Sonic Booms that require a charge motion aren't usually called fireballs. ""Fireball"" can even be used as shorthand for ""quarter circle forward"", if you're trying to quickly describe a special move input. ""The input for your command dash is fireball + kick"" would be a valid sentence, for example."
F,https://glossary.infil.net/?l=F,Forward,"Another name for medium kick. ""Low forward"" means crouching medium kick and is a common phrase you'll hear in Street Fighter games. And, of course, it could also mean holding forward on the analog stick. Yes, that means if you want to talk about a command normal that uses medium kick while holding the forward direction, you might have to parse the phrase ""forward forward"" at some point."
F,https://glossary.infil.net/?l=F,Frame Kill,"Whiffing attacks on purpose in order to very specifically time another attack. Let's say that, after you've knocked down your opponent, you want to try to perform a safe jump. But if you were to jump immediately, you'd be too early and your opponent would still be knocked down. After a bit of clever math and the help of some frame data, you realize you need to wait for 17 frames and then the timing will be perfect.  One option is to just try and get a sense for what 17 frames ""feels like"" and time it manually, but this is pretty difficult so people quickly tried to find something more reliable. For example, if you know that one of your moves takes exactly 17 frames to execute from start to finish, this is way better — simply whiff that move and you'll have ""killed"" those 17 frames perfectly with no need for guesswork or eyeballing anything. If you see people whiffing moves nonsensically when their opponent is knocked down, they're almost certainly setting up the timing for a future attack."
F,https://glossary.infil.net/?l=F,Flipout,"Hitting someone out of the air so that they flip and land on their feet, rather than landing on their back with a knockdown. Each game handles its aerial hits differently; in some games, every aerial hit automatically causes a flipout, while in some games flipout doesn't exist at all, and every aerial hit ends in a knockdown.  Most games, though, will have some moves specifically marked as able to flip out and others marked as knockdown. Flipouts can lead to powerful mixups (usually called air resets) where you walk under the opponent as they're falling, and then as soon as they land, you force them to guess what side you'll end up on. This is very similar to a cross-up, but people will call it a ""cross-under"" in these situations."
F,https://glossary.infil.net/?l=F,Five Gods,"A term of respect used to refer to five legendary Japanese fighting game players: Daigo, Tokido, Nuki, sako, and Haitani. All five of these players have been dominant in multiple fighting games dating back to the 1990s; the moniker started to gain prominence when they were competing to be the strongest in Vampire Savior, a 1997 Capcom title. Even more impressively, all five players are still active (and dominating) into the 2020s.  Interestingly, Smash Bros. Melee has its own set of Five Gods: Armada, mang0, Mew2King, Hungrybox, and PPMD. From 2008-2015, these players won virtually every single tournament they entered, basically only ever losing to each other during that stretch. And while some of these players have retired from competitive play, many of them are still big tournament threats into the 2020s, which is a remarkable feat of longevity in such a technically demanding game."
F,https://glossary.infil.net/?l=F,Force Function,"A unique ability for each character in Under Night In-Birth, done by pressing B+C. Depending on the character, it might be an attack, a throw, a new movement option, a dodge, or something else entirely. Force Functions are powerful, so they will cost you one square of your GRD gauge to use (or, if you don't have any GRD, it will build one square for your opponent). It's best to think of them like a cool special move that isn't mapped to a motion command, a bit like Street Fighter V's V-Skill."
F,https://glossary.infil.net/?l=F,Frame,"A unit used to measure time in a fighting game. Most fighting games operate at 60 frames per second, which means one frame is 1/60th of a second, or about 16 milliseconds, and you can't break this unit down any further. A frame is the core unit used in frame data, which measures the properties of moves in a fighting game, such as how long they take to execute, or which character gets to act first if a move is blocked.  Some players, especially beginners, get intimidated when the word ""frame"" comes up, as if it's some arcane magic. If this is you, instead try to think of a frame as a relative unit. Let's say move A starts up in 3 frames and move B starts up in 4 frames. You might think why do we care about a 16 millisecond difference? There's no way to visually tell the difference between these... and you'd be absolutely right! Don't think of it that way. Instead, think that move B is ""1 frame slower"" than move A, so in situations where both fighters get to attack at the same time, move A is going to hit first. Imagine it as a way to compare two moves, rather than something you're supposed to notice visually, and you'll find yourself making sense of it more quickly."
F,https://glossary.infil.net/?l=F,Fireball War,"Two players throwing lots of fireballs at each other, often without moving, while daring the other person to jump first. A lot of beginners will crack after throwing just one or two fireballs, while expert players can sit there chucking plasma for a long time without feeling the heat, knowing they will have good reactions to anti-air when the time comes. Subtle variations in timing, spacing, and strength of the fireballs used can make these battles fun and interesting, even if they look like boring spam to your average joe."
F,https://glossary.infil.net/?l=F,Fatality,"A violent finishing attack you can perform after you have won a game in Mortal Kombat. Even if you don't play fighting games, it's pretty likely that you know what a Fatality is, as they have been well known in the videogame landscape for 25 years. There have been tweaks on the formula over the years, including the Babality and the Friendship."
F,https://glossary.infil.net/?l=F,Faultless Defense,"A defensive mechanic in the Guilty Gear series that lets you spend your Tension gauge (a.k.a., super meter) in exchange for a stronger block. Commonly called ""FD"". While blocking and holding two buttons, your character gets a green bubble around them and will continuously spend Tension, but you will prevent chip damage, be able to block certain normally unblockable attacks while in the air, your RISC gauge will not increase, and your opponent will get pushed away faster, giving you more room to breathe.  It's not a perfect solution to all problems, though. You will be stuck in block stun for slightly longer (2 frames) when you FD, so you won't want to FD every attack all the time. Overall though, FD is a powerful use of your Tension that has lots of applications, including creative ones like FD Brake, and is very common to see at high level play. In Guilty Gear Strive, you can Instant Block and FD at the same time for even more pushback; you'll hear this called IFD (for Instant Faultless Defense) or other similar abbreviations. BlazBlue has a very similar mechanic called Barrier Block."
F,https://glossary.infil.net/?l=F,Frame Data,"A complete list of the inner workings of every move in a fighting game. Pretty much everything will be measured with frames, a fighting game's fundamental building block of time. You can learn the startup, active, and recovery frames of each move, what the frame advantage is when the move hits or is blocked, how much damage each move does, and any other special properties the move might have, like hitting overhead or low.  Frame data can intimidate people, because it's a giant spreadsheet that looks pretty overwhelming. But, really, frame data is not intended to be memorized like a list of formulas for your high school math class. The two most important numbers are the startup of a move (""how fast is it?"") and how safe or unsafe the move is if it gets blocked (""how risky is it to use?""). When you're getting started with frame data, you can generally skip all the other numbers and focus on these. Look for fast moves, and safe moves, then try these out in matches and see how you do! Then, when you get more practice with the game, the other numbers will make more sense naturally."
F,https://glossary.infil.net/?l=F,Float,"Hitting your Tekken opponent into the air in a way that doesn't involve using a launcher. For example, if you catch your opponent jumping and hit them with a quick attack, you will float them and can follow up with a combo almost as if you had launched them. There are other ways you can float your opponent, depending on which version of Tekken you're playing, so look out for them and capitalize with big damage."
F,https://glossary.infil.net/?l=F,Footstool,"Jumping off someone's head, using them as a springboard and sending them downwards. As soon as you are right above your opponent's head, simply press jump and bounce off their head.  This technique was first introduced in Smash Bros. Brawl and has been in every Smash game since. People have found creative uses of footstooling in combos and during edge-guarding, particularly for gimps, but it's a little tough to use properly since you will not be able to footstool someone downwards if they are doing an attack."
F,https://glossary.infil.net/?l=F,Fast Fall,"Pressing down while in the air to instantly accelerate to your character's maximum falling speed. Attacking after a fast fall is a crucial skill in Smash Bros. Melee, since it lets many characters perform several powerful aerial attacks in rapid succession, hitting the ground between each one. It's part of the core of SHFFLing."
G,https://glossary.infil.net/?l=G,Gimp,"Intercepting a character who is trying to recover back to the stage and killing them, usually with a weak attack or technique not meant to deliver powerful knockback. The general goal is to interfere with their preferred method of recovery so they are at risk of dying at low percentages. Maybe you will knock Donkey Kong downwards so his mostly-horizontal recovery doesn't have the height to get back on the stage, or maybe you will try to absorb Ness's PK Thunder so he falls helplessly to his death. Early gimps can cause huge momentum swings in a match, so be careful."
G,https://glossary.infil.net/?l=G,Gravity Scaling,"A game mechanic in some anime games where the opponent in a prolonged air combo or being juggled will start to fall towards the ground faster as the combo gets longer. Eventually, the character gets too heavy and will thunk to the ground faster than the opponent can attack, ending the combo. It's one way to prevent infinite combos."
G,https://glossary.infil.net/?l=G,Grab,"See throw. ""Throw"" tends to be the more common term for regular throws, but ""command grab"" tends to be more popular for special move throws. Don't worry about it too much though, both are fine."
G,https://glossary.infil.net/?l=G,Gap,"How long your character has returned to neutral in between blocking (or getting hit by) two attacks. Like all discussions of time in fighting games, it's measured in frames. While you're in neutral, you can take any action, but be careful! If you are only in neutral for a few brief frames, there are some actions you won't want to take, especially if your opponent is looking to do a frame trap.  If your character blocks two attacks and there is no gap at all, we'll call that a true block string or say the offense is tight (it's also quite related to the Tekken concept of jailing). Sometimes players will just ask ""is there a gap in that string?"" just so they know whether they even have the option to do anything except block. Maybe if there's a gap they'll sometimes try a reversal to escape."
G,https://glossary.infil.net/?l=G,Guard,An alternate term for blocking. Japanese players will always refer to blocking as guarding.
G,https://glossary.infil.net/?l=G,Gouki,"The Japanese name for Akuma. Like with Vega, M. Bison and Balrog, there are some naming differences between some characters in the Japanese and English versions."
G,https://glossary.infil.net/?l=G,Game,"A collection of rounds after which a winner will be decided. In most fighters, a game is decided after a player wins 2 rounds, but in some other fighters such as Tekken, it is more common to win 3 rounds. In fighting games with multiple health bars, such as Killer Instinct and the Marvel vs. Capcom series, a game ends after all health bars for one player have been depleted."
G,https://glossary.infil.net/?l=G,Getup,"A set of system-wide actions you can take in Mortal Kombat 11 as you are waking up. You can do a ""Getup Attack"", which is effectively a reversal attack; this costs 1 Defensive Meter and 1 Offensive Meter and you can pick between an invincible but low damage attack, or an attack that starts a combo but isn't invincible. You can also tech roll either backwards or forwards for just 1 Defensive Meter, although like most rolls, this can be thrown if your opponent predicts it. You can also do a Delayed Getup (for free), which keeps your back on the ground a little longer and might mess up your opponent's attack timing."
G,https://glossary.infil.net/?l=G,Groove,"A set of mechanics you apply to your team in Capcom vs. SNK 2. When you pick your characters, you also pick one of six ""grooves"" (similar to ISMs in an older game), which apply different universal mechanics and playstyles to your team. Since it's a crossover game, three of the grooves (C, A, and P) approximate systems from Capcom games, and the other three (S, N, and K) approximate systems from SNK games.  C-Groove: Uses a more traditional super meter, giving access to level 1, 2, and 3 supers. Probably the second-strongest groove. A-Groove: A custom combo groove that allows for huge damage and nasty tricks. The strongest groove. P-Groove: Has access to a parry and one long super meter. Situationally decent but not used too often. S-Groove: Gives access to an in-place spot dodge, has super meter that is manually chargeable, and unlimited level 1 supers when you are low on life. Despite that, the worst groove in the game. N-Groove: Has three ""stocks"" of super meter, where one can be spent to charge your character up. Not the best, not the worst groove. K-Groove: Has just defend and a rage meter that charges up when you take damage for a very powerful super attack. Probably the best SNK groove.  It's worth noting that you can execute the incredibly powerful roll cancel technique only in C, A, and N grooves, which is one of the main reasons C and A are so lopsidedly strong."
G,https://glossary.infil.net/?l=G,G-Cancel,"A way for you to stop inputting your current string in Virtua Fighter and start inputting a new one from the beginning. To do this, simply press G any time you're attacking to ""clear"" the game's memory of your current string; because of that, you'll also hear this called G-Clearing.  As an example, let's say that you want to hit neutral punch (P), and then neutral punch again as soon as the first attack is over. This is difficult, because the large input buffer in Virtua Fighter will always try to give you your character's unique 2-hit PP string instead. Instead, hit G after the first P to perform a G-Cancel. You won't see any guard animation, but your second P will now be treated as if it was pressed in neutral, allowing you to ""start over"" with a new string whenever you want. G-Canceling is a crucial tool for inputting certain juggle combos that need to deftly avoid getting the wrong string."
G,https://glossary.infil.net/?l=G,Gauge,"Mostly synonymous with meter. Basically, it's the physical on-screen representation of how much of some resource you have (for example, a measure of how much super meter you have). You'll hear this called your ""meter"", ""super meter"", or ""super gauge"" kind of interchangeably. Meter is the much more common English term, while gauge is used in Japanese."
